caption,hashtags,caption_length,word_count,hashtag_count,posting_hour,day_of_week,is_weekend,follower_count,verified_status,sponsored,media_type,source_dataset,performance_class,binary_performance
"Estão preparados para este grande momento? 
Dia 19/04 Nossa equipe é nosso Coelhinho da Páscoa esperamos por vocês para uma grande festa! Estamos preparando tudo com muito carinho! 🐰❤️ 

#pascoa #criancas #globomagazineinfantil",#pascoa #criancas #globomagazineinfantil,227,32,3,14,Monday,0,9272,False,False,Image,real,Medium,0
When you get to work with your bestfriend 🫰🏻,,44,9,0,7,Saturday,1,10868,False,False,Carousel,real,Low,0
"Kashi honar mi Social media influencer 🙄 
Aaj हरतालिका पूजा आहे….aaj navryacha divas ahe 🙈🥰 
Kiti chan ahe majha navra 🥰🙈😝 
हरतालिका देवी अशीच प्रसन्न राहू देत ॥",,161,28,0,11,Tuesday,0,125411,True,False,Carousel,real,High,1
"COSMIC CYCLE 🤩 THIS SATURDAY 

📷: @photosbyrudeboi",,50,7,0,21,Thursday,0,12410,False,False,Carousel,real,Medium,0
"essas palavras foram o suficiente pra fazer um homem adulto chorar 😢😢

nunca aposente @fallen 

📷 Helena Kristiansson/ESL

#cs2 #counterstrike #gaming #gg #draft5 #cs #esports",#cs2 #counterstrike #gaming #gg #draft5 #cs #esports,175,25,7,22,Friday,0,58907,False,False,Image,real,High,1
"Last days of ""Into the Woods"" with works by Guido Zehetbauer-Salzer:
on view until 30/10/25
We are looking forward meeting you here these days!
#zsartgalerie #guidozehetbauersalzer #intothewoods #exhibitions #closingexhibition #viennaaustria #onview #viennanow #galleryinfo #abstractpaintings #drawings
#art #contemporaryart #contemporaryartist",#zsartgalerie #guidozehetbauersalzer #intothewoods #exhibitions #closingexhibition #viennaaustria #onview #viennanow #galleryinfo #abstractpaintings #drawings #art #contemporaryart #contemporaryartist,344,38,14,10,Tuesday,0,4281,False,False,Image,real,High,1
"It's still #BlackHistoryMonth whether it's on the calendar or not.

https://www.momscleanairforce.org/courageous-actions-in-black-history/

#AOTR #AuthorsOfTheResistance #igreads #WritingCommunity",#BlackHistoryMonth #AOTR #AuthorsOfTheResistance #igreads #WritingCommunity,196,15,5,15,Monday,0,1333,False,False,Image,real,Low,0
"I haven't written in a while- actually I have been writing a series of short heartbreaking poetry and quotes but I haven't been sharing here. Yhep, guilty of gatekeeping sad words.

Okay now this post!

I sat with my cutter in one hand and the pencil in the other, musing. It suddenly struck me how loyal they are to each other, where you see a sharpened pencil, there's always a blade behind it's point. Where you see a blunt cutter, it's from it's loyal service to the pencil. 

""But the pencil breaks, and the cutter gets blunt""
- @ibrahim_abdull

""But never by the other, the cutter always finds it's way back to the pencil, the cutter gets blunt; sharpening the pencil and the pencil always comes back to the cutter after being broken by others""
-buzuwa

""The cutter is always hacking on the pencil, wounding it, but not to flaw it, instead to shape it into perfection""
-buzuwa

Now here's another way to look at it!!!

The depth in these are undebatable. I hope every pencil finds a cutter.

.

.

.

.

#pencils #cutters #life #musings #drawingmaterials #nigerianwriter #africanpoet #loyalty #love #hijabi #afropoet #deep #amazingwriting #goodwriting #blades #rust #bluntedge #sharptip#abuja #nigeria",#pencils #cutters #life #musings #drawingmaterials #nigerianwriter #africanpoet #loyalty #love #hijabi #afropoet #deep #amazingwriting #goodwriting #blades #rust #bluntedge #abuja #nigeria,1207,202,19,20,Monday,0,839,False,False,Carousel,real,High,1
"The song “Dyosa” is about becoming beautiful; beauty comes to me from being able to share in experiences with my community. The Filipino communities in the Philippines, the U.S. and around the world has given me so much strength to be myself, to express my culture and to be proud! Thanks to my fellow Filipino friends who joined me in my first song in Tagalog: @rnbjayr @mica @julesaurora @ranellaferrer @princemarell @jomjerald @trinityinay @trelissainay 
photos by @ronkatagiri 
second camera by @kobelamaur 
makeup by @thejacquii 
hair styling by @hairbystevenbuitrago 
wig styling by @deangelmonroe 
fashion styling assisted by @dvnnation 
produced by @republicrecordsph 
Watch “Dyosa” on YouTube link in bio
#DyosaFever #manilaluzon",#DyosaFever #manilaluzon,738,108,2,18,Monday,0,1406012,True,False,Carousel,real,Medium,0
"🌎आज के #USMarket पर डालिए एक नजर 

#DowJones #NASDAQ #StockMarket #GlobalMarket",#USMarket #DowJones #NASDAQ #StockMarket #GlobalMarket,79,11,5,0,Monday,0,1851898,True,False,Image,real,Low,0
"I’ll bet my life savings you’ve never seen this protein flavor before… 

(I won’t actually take anyone up on that bet but… you get the point)

@apollonnutrition 

#protein #proteinpacked #proteinshake #supplements #health",#protein #proteinpacked #proteinshake #supplements #health,221,32,5,19,Saturday,1,14476,False,False,Reel,real,High,1
"Hi Tom-ers! 🎉

Flash Sale 11.11 starts today and it’s a deal you don’t wanna miss!

Enjoy 𝟭𝟭 𝗥𝗲𝗱 𝗖𝗼𝗹𝗼𝗿𝗽𝗹𝗮𝘁𝗲𝘀 𝗳𝗼𝗿 𝗼𝗻𝗹𝘆 𝗜𝗗𝗥 𝟭𝟬𝟬.𝟬𝟬𝟬 (before tax & service). Perfect for a sushi date or a fun time with your loved ones 🥰

This offer is valid for today only and available at all Tom Sushi outlets in Indonesia.

Terms & Conditions:
• Valid for red colorplates on belt
• Valid for dine-in only
• Valid from 11:00 – 15:00 
• Not valid for multiple or split bills
• Can be combined with other promotions/Bank promotions/Sushi Tei Group Loyalty Program
• Cannot be combined with the Stamp Rally program

#tomsushi #tomsushiidn #flashsale1111 #1111promo #promo1111 #promosushitei #sushihalalyasushitei #japanesefood #halaljapanesefood #japaneseresto",#tomsushi #tomsushiidn #flashsale1111 #1111promo #promo1111 #promosushitei #sushihalalyasushitei #japanesefood #halaljapanesefood #japaneseresto,738,118,10,6,Tuesday,0,26597,False,False,Carousel,real,Low,0
"Modelando para a @celihoficial ✨

E aproveitando o post para dizer que teve reposição desse óculos perfeito que virou meu preferido e que também chegaram outros novos modelos.

Impossível resistir e ficar sem um!

📸 fotos maravilhosas @patricksandrifotografia",,259,38,0,10,Monday,0,5272,False,False,Carousel,real,Medium,0
"✖️SOLD JAKARTA TIMUR✖️
Adidas superstar black white
Size 41 1/3 / 26 cm
Kondisi 8.5 / 10 
Harga : Ask? Murah
.
Order via dm atau
📲 Wa : 085943127197
.
🏧 Payment via BCA
🚚 Pengiriman via jne, Jnt
📍 COD PONTIANAK📍
.
#airmaxsecond #nikeaf1second #nikesecond #secondsurabaya #secondjogjakarta
#newbalancesecond #adidassecond #nikeairmax1second #reeboksecond #docmartsecond #secondsurabaya #vanssecond #nikeblazer #secondhand #secondmalang #secondbogor #secondjakarta #secondbandung #reebokclubc85 #secondbatam #secondbali #secondmedan #secondbekasi #secondsemarang #adidasforum #adidassuperstar #adidassamba",#airmaxsecond #nikeaf1second #nikesecond #secondsurabaya #secondjogjakarta #newbalancesecond #adidassecond #nikeairmax1second #reeboksecond #docmartsecond #secondsurabaya #vanssecond #nikeblazer #secondhand #secondmalang #secondbogor #secondjakarta #secondbandung #reebokclubc85 #secondbatam #secondbali #secondmedan #secondbekasi #secondsemarang #adidasforum #adidassuperstar #adidassamba,603,71,27,8,Tuesday,0,26253,False,False,Image,real,Low,0
"Casamento do nosso amigo @rondi_gumiero e @kariny_dicher , que Deus abençoe grandemente a vida de vocês, muitas felicidades 😃🙏🥳
#estevamfotografia 
#casamentocivil 
#casorio 
#casal 
#casamento 
#wedding",#estevamfotografia #casamentocivil #casorio #casal #casamento #wedding,203,25,6,18,Monday,0,1145,False,False,Carousel,real,High,1
"Beautiful at work found on printers 
#nativeamerican #indigenous #native #nativepride #firstnations #nativeamericans #art #nativeamericanart #americanindian #nativeart #natives #navajo #nativeamericanculture #nativebeauty #nativeamericanpride #indigenouspeople #nativeamericanhistory #nativeamericanjewelry #indigenousart #nativeculture #love #nativemade #nativeamericanstyle #nativewomen #nativeamericanheritagemonth #indigenouspride #nativeamericanwisdom #decolonize #indigenouswomen #photography",#nativeamerican #indigenous #native #nativepride #firstnations #nativeamericans #art #nativeamericanart #americanindian #nativeart #natives #navajo #nativeamericanculture #nativebeauty #nativeamericanpride #indigenouspeople #nativeamericanhistory #nativeamericanjewelry #indigenousart #nativeculture #love #nativemade #nativeamericanstyle #nativewomen #nativeamericanheritagemonth #indigenouspride #nativeamericanwisdom #decolonize #indigenouswomen #photography,498,36,30,17,Thursday,0,374,False,False,Image,real,High,1
"Karnataka Deputy CM DK Shivakumar has refuted allegations of his growing proximity to the BJP, calling them ""false propaganda"".

""I was born a Congressman, and my personal beliefs remain unchanged. There is a false narrative being spread about me,"" he asserted. 

Emphasising his religious inclusivity, he said, ""I was born a Hindu and will die a Hindu, but I respect all religions. I have studied Sikhism, visited Jain monasteries, dargahs, and churches. Every community embraces me.""

#dkshivakumar #shivakumar #karnataka #religion #hinduism #bjp #congress #politics",#dkshivakumar #shivakumar #karnataka #religion #hinduism #bjp #congress #politics,568,84,8,8,Thursday,0,137277,True,False,Image,real,Medium,0
"Done at the one and only @tildeathdenver thanks for looking. Dm or email for booking jeremiahwayne79@gmail.com 
.
.
.
#denver #denvercolorado #colorado #denvertattoo #colortattoo #flashtattoos #traditionaltattoo #tradtattoo #traditionaltattoos #brightandbold #boldtattoos #denverliving #denverlife #tattoosnob #tattooerlife #traditionalamericantattoo #skinart_traditional #americantraditional #tattoo #coloradotattoo #denvertattoos #denvertattooer #cowboytattoo #westerntattoos #tattoomagazine #tattoolife #tattoosociety #tattoosocial #tattooworld",#denver #denvercolorado #colorado #denvertattoo #colortattoo #flashtattoos #traditionaltattoo #tradtattoo #traditionaltattoos #brightandbold #boldtattoos #denverliving #denverlife #tattoosnob #tattooerlife #traditionalamericantattoo #skinart_traditional #americantraditional #tattoo #coloradotattoo #denvertattoos #denvertattooer #cowboytattoo #westerntattoos #tattoomagazine #tattoolife #tattoosociety #tattoosocial #tattooworld,547,48,29,19,Tuesday,0,7431,False,False,Carousel,real,High,1
"മാർച്ച് 29
കയ്യൂർ രക്തസാക്ഷി ദിനം ✊🏻
.
.
.
.
#kayyoor #revolution #communism #kasaragod #അണിഞ്ഞസഖാക്കൾ #chuvappinte_poralikal",#kayyoor #revolution #communism #kasaragod #അണിഞ്ഞസഖാക്കൾ #chuvappinte_poralikal,125,16,6,17,Thursday,0,14193,False,False,Image,real,High,1
Spooky fall vibes 🍂🍁at #wolftrail in #gatineau #park #canada #gatineaupark #hiking #fall #autumn #leave #spooky #light #outdoors #wandering #wander #outdoors #nature #gatineauhills,#wolftrail #gatineau #park #canada #gatineaupark #hiking #fall #autumn #leave #spooky #light #outdoors #wandering #wander #outdoors #nature #gatineauhills,180,22,17,19,Monday,0,92,False,False,Image,real,High,1
"Unlock Your Global Business Potential!

Join the next generation of global business leaders with our prestigious joint-degree program by UKI & Coventry University, supported by Raffles College! 

🎓 Discover how you can earn two prestigious degrees in one program and embark on an exciting educational journey. 🚀📚

Ready to take the leap? Apply now and open doors to worldwide opportunities! 

For more details:
0811 8834 588 Ms Dora
0813 4555 5801 Ms Nindy

#UKI
#CoventryUniversity
#Doubledegree
#JointDegree",#UKI #CoventryUniversity #Doubledegree #JointDegree,509,77,4,8,Thursday,0,168,False,False,Image,real,High,1
🦋,,1,1,0,15,Thursday,0,697,False,False,Image,real,High,1
"#supreme 
簡單明瞭一點 一看也知道不簡單✖️
/
Top:Supreme 40 Acres Malcolm X Tee Black 短袖 黑色 
/
—————————/Store Information/—
營業時間:13:00~21:00 (周五及周六營業至 22:00)
-
沃皮斯潮流遠百店(大遠百對面)
電話:03-5250532
地址:新竹市文昌街101號
-
#國旅卡特約商店
#新竹市當天外送到府 #Sneakerpanda
————————————————————
📍沃皮斯新竹門市Instagram: https://reurl.cc/rlgVv1
🔺如有任何服務上的寶貴意見 
歡迎傳送至店長信箱📪 worldpeace.sm2013@gmail.com
————————————————————
#球鞋專賣 #實戰籃球鞋 #運動鞋 #限量鞋 #流行服飾
 #運動服飾 #沃皮斯 #沃皮斯潮流 #新竹鞋店 #新竹潮流店
#新竹大遠百 #城隍廟鞋店 #Nike #jordan #jordan1 #ootd #streetstyle #spootd #cityboy #worldpeaceootd #worldpeacesneakers",#supreme #國旅卡特約商店 #新竹市當天外送到府 #Sneakerpanda #球鞋專賣 #實戰籃球鞋 #運動鞋 #限量鞋 #流行服飾 #運動服飾 #沃皮斯 #沃皮斯潮流 #新竹鞋店 #新竹潮流店 #新竹大遠百 #城隍廟鞋店 #Nike #jordan #jordan1 #ootd #streetstyle #spootd #cityboy #worldpeaceootd #worldpeacesneakers,534,55,25,8,Saturday,1,19685,False,False,Carousel,real,Medium,0
"Tu narazie jest przestrzeń..
A za chwilę będzie …

Dokończ zdanie:)",,67,11,0,6,Saturday,1,20340,False,False,Image,real,Medium,0
Suit up. @doom: The Dark Ages is here!,,38,8,0,0,Thursday,0,13731554,True,False,Reel,real,High,1
"#제품제공
#🐥같이먹짱_택배🐹 
#오스떼 #곱창김 
-
#버터갈릭 맛 나는 김이 있다는거 혹시 아셨나요..🖤🤍
오스떼에서 나온 버터갈릭김인데, 
달달하고 약간의 버터리함때문에 감칠맛이 최고였어요!
특히 #간장계란밥 #장조림 과 단짠조합굿..🖤
짠맛나는 김만 먹다가 신세계였고요..🤤 
아이들은 무조건이고, 달달한 맛 좋아하시는 분들께 추천합니당🤤👍🏻 
-
구매는〰️ @ostte_official",#제품제공 #🐥같이먹짱_택배🐹 #오스떼 #곱창김 #버터갈릭 #간장계란밥 #장조림,220,39,7,23,Thursday,0,7785,False,False,Carousel,real,Low,0
"6/15(日)はZOZOに集合〜🚩

今、イチ推しの10コーデをまとめました📝
ぜひ予習してお待ちください〜🫶✨

気になるアイテムはお気に入り登録がおすすめです♡

#omekashi #オメカシ
#骨格ストレート #イエベ秋 #159cm 
#着痩せコーデ #垢抜けコーデ",#omekashi #オメカシ #骨格ストレート #イエベ秋 #159cm #着痩せコーデ #垢抜けコーデ,138,11,7,13,Friday,0,835,False,False,Carousel,real,High,1
"วันก่อนแวะมาเล่นกับพี่เจซซี่ค่า มาลอง Multilayer Face Lifting and Tightening Programด้วยย เทคนิคยกกระชับรูปหน้าเฉพาะบุคคลของคุณหมอเอ ที่ 22‘s. CLINIC
แล้วยกจริง เริสมาก ไม่ค่อยเจ็บด้วยย ตอนแรกบอกเลยมาเล่นไม่ได้คาดหวัง แต่ทำแล้วชอบมากค่า รู้สึกเลยผิวแน่นขึ้นน ✨💕
New Doublo 2.0: MFU & RF Synergy Technology for Skin Rejuvenation 
#NewDoublo2.0 #Doublo #DoubleFirm #Club22s #Team22s @22sclinic",#NewDoublo2.0 #Doublo #DoubleFirm #Club22s #Team22s,391,36,5,15,Friday,0,170199,True,False,Carousel,real,Low,0
Trying to relax after a huge unexpected argument went out and now I just cant... I have too much on my mind and I cant get the relaxing feeling.... #relax #cant #ugh #helpless #icantdothisanymore #whattodo #austin #texas #atx #atxlifestyle #fun #excited #blessed #lovelovelove #goals #bathtime #upset,#relax #cant #ugh #helpless #icantdothisanymore #whattodo #austin #texas #atx #atxlifestyle #fun #excited #blessed #lovelovelove #goals #bathtime #upset,300,46,17,4,Tuesday,0,389,False,False,Image,real,High,1
Today's walk,,12,2,0,1,Sunday,1,351,False,False,Carousel,real,High,1
"Gledis &Blerina❤️

#photooftheday#photography#loved#blessed#godisgood#photographers#wheddingday#whedingphotographer",#whedingphotographer,115,3,1,7,Friday,0,697,False,False,Image,real,High,1
#haircut✂️ BİLGİ VE RANDEVU İÇİN ☎️📞📞📞05523431390 📞☎️ BİLGİ VE RANDEVU İÇİN ☎️ 05523431390📞 #hairstil#yusufcrk#saçtasarımı##hairstyle #yusufcrk✂️✂️✂️✂️ #saçtasarımı#saçrenglendirme #bebekkumralı👉 #ombre#sombre#hairsombre#hairombre#kumralsaç #kumral#doğaltonlar#doğaltonlamalar #sarınıntekadresi #haircolor #haircolorist #haircolour #hairtrends #hairlove #hairvideos #saçtasarımı#külükumral#külütonlama#saçrenkleri,#haircut✂️ #hairstyle #yusufcrk✂️✂️✂️✂️ #saçrenglendirme #bebekkumralı👉 #kumralsaç #doğaltonlamalar #sarınıntekadresi #haircolor #haircolorist #haircolour #hairtrends #hairlove #hairvideos #saçrenkleri,424,27,15,9,Wednesday,0,6577,False,False,Carousel,real,Medium,0
"🦖 Amazfit T-Rex 3 – Built for the Wild. Ready for Singapore.
 From MacRitchie trails to Bukit Timah peaks, the T-Rex 3 is your ultimate adventure watch—tough, smart, and built to explore.
🌍 Dual-band GPS + 6 satellite systems
 🗺️ Offline maps with turn-by-turn navigation
 💪 170+ sports modes + auto strength training detection
 🧭 Compass, altimeter, barometer, movement tracking
 🔥 1.43"" AMOLED display | 2,000 nits brightness
 💧 10 ATM water resistance | Passed 15 military-grade tests
 🔋 Up to 27 days battery life
 🗣️ Zepp Flow™ AI assistant + health monitoring
💥 Now only $339 (U.P. $359) | 📍 Hands-on at 313 Somerset!

Locate us: 313@Somerset | B2 - 08/09/10/11

Shop Now : https://tinyurl.com/2u5yan3r

#connectitsg #connectit #AmazfitTREX3 #RuggedSmartwatch #AdventureReady #ExploreSG #ZeppLife #OutdoorTech",#connectitsg #connectit #AmazfitTREX3 #RuggedSmartwatch #AdventureReady #ExploreSG #ZeppLife #OutdoorTech,815,124,8,0,Saturday,1,2669,False,False,Image,real,Low,0
"🍊 Sparkle your day with our Sparkling Orange Series! A refreshing twist of citrus goodness in every sip ✨
Fresh, fizzy, and irresistible 🍊 we've got your citrus cravings covered 💛🧡💛🧡💛
Which flavour will brighten your day? 🌟 

#JUICYFreshJuiceBar 
#JUICYMalaysia 
🥇 Korea No.1 Juice Brand 
🍹 Fresh, Tasty, Affordable
💯 Real Fruit Juice
Live Your Life Juicy",#JUICYFreshJuiceBar #JUICYMalaysia,355,57,2,7,Thursday,0,1836,False,False,Image,real,Low,0
"Kode :  2506B1-15 🔥 SOLD 🔥 Cek yang masih Ready di bio yaa.. 
. 
❄️ Klik tanda pesawat (segitiga), balas / reply to the secondchance dan kirim
.
🔥 Klik gambar lonceng 🔔 (kanan atas profil) untuk aktifkan notifikasi dari kita ya.. 
.
Size : F / LD 140 / P 70
Material :  Nylon 
Lining (Furing) : ✅
KET : 
•
•
•
•
•
#jacket #outer #thrift #thriftshop #fashion #fashionjkt #jaksel #preloved #prelovedbranded #secondbranded #jacketbranded #barangbranded #beauty #instagood #sosialita #kemejawanita #kemejaoversize #atasanvintage #outerwanita #jacketcewek",#jacket #outer #thrift #thriftshop #fashion #fashionjkt #jaksel #preloved #prelovedbranded #secondbranded #jacketbranded #barangbranded #beauty #instagood #sosialita #kemejawanita #kemejaoversize #atasanvintage #outerwanita #jacketcewek,550,86,20,13,Wednesday,0,32223,False,False,Carousel,real,Low,0
"May the divine grace of lord rama, bless you with love, peace and good health!

Happy Ram Navami from Bhaavya Interiors llp team.

Contact now 👷 ♂️ +91 98981 21181

#ramnavami2024 #ram #jaishreeram #ramayan #india #lordrama #ramnavmi #hinduism #lordram #hanuman #sitaram #jaishriram🙏 #shreeram #hindu #navratri #lordhanuman #shriram #rama #happyramnavami #sita #ramji #jaihanuman #harharmahadev🙏🌿🕉️ #interiordesign #bhaavyainteriors #festival #jaibajrangbali🙏",#ramnavami2024 #ram #jaishreeram #ramayan #india #lordrama #ramnavmi #hinduism #lordram #hanuman #sitaram #jaishriram🙏 #shreeram #hindu #navratri #lordhanuman #shriram #rama #happyramnavami #sita #ramji #jaihanuman #harharmahadev🙏🌿🕉️ #interiordesign #bhaavyainteriors #festival #jaibajrangbali🙏,459,57,27,5,Wednesday,0,24249,False,False,Image,real,Low,0
"Kiemen zijn tegenwoordig erg populair, omdat ze meer voedingsstoffen bevatten dan de volwassen plant. Doe ze bijvoorbeeld eens in je smoothie voor de nodige vitamineboost!  Klik op de link in de bio voor ’t recept.

#linkinbio #picoftheday #photogram #instagood #instafood #yummy #homemade #recept #recipe #delicious #food #foodie #smoothierecipe #smoothie #smoothielover | Brain food smoothies, Charlotte Labee, Kosmos Uitgevers",#linkinbio #picoftheday #photogram #instagood #instafood #yummy #homemade #recept #recipe #delicious #food #foodie #smoothierecipe #smoothie #smoothielover,429,58,15,8,Saturday,1,22763,False,False,Image,real,Medium,0
"My mission this morning is to start and finish the cuff on my #dalasweater so that I can finally wear it!

#knit #knittersofinstagram #knitter #hobby #handmade #homemade #makeitwearit #knitting #knittedsweater #knitted #fairisleknitting",#dalasweater #knit #knittersofinstagram #knitter #hobby #handmade #homemade #makeitwearit #knitting #knittedsweater #knitted #fairisleknitting,236,32,12,9,Thursday,0,2024,False,False,Image,real,High,1
