Sr No,Image File,Caption,source_dataset
49,img/insta49,We always go into it blindly. ,instagram_data
50,img/insta50,"Me, all the time ",instagram_data
51,img/insta51,Happy birthday to my sweet angel -beyond proud of the man you’ve become. 21!! ,instagram_data
52,img/insta52,"Such an honor to share this project with some of my family and friends last night and to introduce them to the amazing, courageous people who shared their stories in the documentary. Grateful to play a part in getting this out into the world. ❤️ ",instagram_data
53,img/insta53,"My dream come true. My friends surprised me on my birthday with a taping of shark tank and it finally happened!! Thank you so much for all being so kind, funny and genuine 🦈 ",instagram_data
54,img/insta54,My Boston photo diary 💜🌈 thank you for being so warm and welcoming to me while I was there!! I had the best time meeting so many of you ,instagram_data
55,img/insta55,So humbled to have been part of the incredible McLean Hospital’s Annual Dinner and was honored to be able to share a bit of my story. Thank you Dr. Rauch for inviting me and spending time speaking with me about mental health. And thank you to all the amazing staff at McLean. And a huge thank you to David O Russell for connecting me with these amazing humans. These are the moments where I am so grateful for the platform God has given me. ❤️ ,instagram_data
56,img/insta56,Apparently my heart was very conflicted between Juan and Cole Sprouse when I was 11.. ,instagram_data
57,img/insta57,"After a whole summer of being roommates, Anna, Fox and Freddy have gone home and I’m missing them already. I get to live life with the best people. I’m pretty freaking lucky. ",instagram_data
58,img/insta58,"Wednesdays, a huge bright blue comfy and Winnie. ☀️ ",instagram_data
59,img/insta59,"All kinds of magic ✨🌈 thank you, for your heart, your insane humor and your words. We laughed, cried and danced. 💕 ",instagram_data
60,img/insta60,Siri play “I wanna be your lover” ,instagram_data
61,img/insta61,LQDCELL Shatter 👟👟 by ❤️ ,instagram_data
62,img/insta62,Sometimes I can’t express how truly grateful I am. Now.. Back to work. ,instagram_data
63,img/insta63,"Me, Italy -trying desperately to look like a Fellini film ",instagram_data
64,img/insta64,Well I’m 27 now. I wanted to thank each and every one of you for your words on my bday. Not just the quick notes. The thought that goes behind every word you write usually ends up with me crying grateful tears like I did last night. Praying for all of you!! I LOVE YOU ,instagram_data
65,img/insta65,Kids in cages! Sleeping on concrete floors with aluminum blankets! No access to simple dignities! How is this still happening??? It’s absolutely inhumane to treat anyone like this let alone children. I can’t even imagine what they are going through. We need to get this to finally stop! Don’t stay silent on this human rights issue- please call your reps 202.224.3121 ,instagram_data
66,img/insta66,Living in my Cali Bolds for summer. ,instagram_data
67,img/insta67,When Olivia is a star and Paul wears your face on a shirt (btw if you haven’t seen Olivia’s movie Booksmart I don’t understand you) ,instagram_data
68,img/insta68,All combo -biker jacket and butterfly parker bag ,instagram_data
69,img/insta69,"To see what is happening right now in Alabama, Georgia, Mississippi and several other states in our country is not only deeply upsetting but seems that it can’t possibly be real in 2019. It’s no one’s business what a woman chooses to do with her body. End of story. If you want to help fight this, click on the link in my bio to find out how you can volunteer or make a donation. ",instagram_data
70,img/insta70,My first time in Cannes! I’m so honored to have been a part of this movie with Jim and the whole cast. By the way Bill Murray and I are getting married. ,instagram_data
71,img/insta71,Been working hard on a new collection with my fam. Launches today ✈️ ,instagram_data
72,img/insta72,hi Cannes...you’re very pretty ,instagram_data
73,img/insta73,I owe my life to you momma ,instagram_data
74,img/insta74,studio diva ,instagram_data
75,img/insta75,,instagram_data
76,img/insta76,"Yesterday at the Empowerment in Entertainment event, I had the honor to meet some of the brightest students who might never have imagined a career in Hollywood as they were given the opportunity to go to college and work with mentors in the industry. Thank you to the most courageous, brave, intellectual, strong, beautiful spirit that is Oprah for caring so much about empowering all walks of life but more importantly for being the action and not just standing behind the word. You DO it. Thank you for continually inspiring us to be kinder, greater and stretching all the boundaries for the better. “From everyone to whom much has been given, much will be required.” ",instagram_data
77,img/insta77,"I met Theresa 5 years ago. We worked together and became best friends. She has taught me how to see life in a fun, carefree and uplifting way. She has shown me how to be a strong and fearless woman. She is beautiful, kind and smart. I saw how capable she was of achieving her dreams. I wanted nothing more than to see her pursue them and soar. And here you are making it happen T. I love you and I am so proud of you. ",instagram_data
78,img/insta78,Coachella for the night with T ,instagram_data
79,img/insta79,,instagram_data
80,img/insta80,Loving my new Dreamer bag. ,instagram_data
81,img/insta81,throw b ,instagram_data
82,img/insta82,New season. New Parker. Same Fam. ,instagram_data
83,img/insta83,I Can’t Get Enough video is out now. Can’t believe we pulled it off in one take- even if I did fall once or twice trying. ,instagram_data
84,img/insta84,familia ,instagram_data
85,img/insta85,I Can’t Get Enough is out now! Link in bio ,instagram_data
86,img/insta86,Back on set with Always in my Cali. ,instagram_data
87,img/insta87,"My best friend is getting married, so we celebrated her! Future Mrs. Lopez ",instagram_data
88,img/insta88,My sweet soul sister. Julia you have been a huge part of my life. You have taught me how to have courage when I have self doubt. This song is extremely close to my heart as I’ve experienced anxiety and know a lot of my friends do too. You’re never alone if you feel this way. The message is much needed and I really hope you guys like it! ,instagram_data
89,img/insta89,Lots to look forward to in 2019. I can’t wait to share the projects I’ve been working on with you. The first one is here: Cali 👟 BY ,instagram_data
90,img/insta90,"It’s been awhile since you have heard from me, but I wanted to wish everyone a happy new year and to thank you for your love and support. Last year was definitely a year of self-reflection, challenges and growth. It’s always those challenges which show you who you are and what you are capable of overcoming. Trust me, it’s not easy, but I am proud of the person I am becoming and look forward to the year ahead. Love you all. ",instagram_data
91,img/insta91,"Mood lol (I was looking at myself in the mirror -like an idiot!) Update: taking a social media break. Again. As much as I am grateful for the voice that social media gives each of us, I am equally grateful to be able to step back and live my life present to the moment I have been given. Kindness and encouragement only for a bit! Just remember- negative comments can hurt anybody’s feelings. Obvi. ",instagram_data
92,img/insta92,🖤 ,instagram_data
93,img/insta93,,instagram_data
94,img/insta94,is my real life Barbie. She makes all my stuff look cooler 💕sweater: and rocking cute ,instagram_data
95,img/insta95,"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that’s been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I’m aware there will always be interests in one’s personal life because that’s the pace of our ‘social’ generation. I’m grateful for my position and I will always find ways to make my job more about others and giving back— all while having the best time with my music, fashion, film and my love for learning about the world that I’m eager to tap into more and more. Church is a name for something far more personal. There’s always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn’t) but I’ll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I’m a bit bummed but rarely surprised. Y’all know me and my heart. I can’t help it. So I’ll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon 😊 I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",instagram_data
96,img/insta96,"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that’s been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I’m aware there will always be interests in one’s personal life because that’s the pace of our ‘social’ generation. I’m grateful for my position and I will always find ways to make my job more about others and giving back— all while having the best time with my music, fashion, film and my love for learning about the world that I’m eager to tap into more and more. Church is a name for something far more personal. There’s always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn’t) but I’ll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I’m a bit bummed but rarely surprised. Y’all know me and my heart. I can’t help it. So I’ll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon 😊 I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",instagram_data
97,img/insta97,"Alright. Speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me. The older I get the more I want my voice to be mine. This is all apart of my work within an industry that’s been around longer than all of us have been. The purpose of my interview was three fold. My work with A21, my new collection with Coach, and some new music. As I’m aware there will always be interests in one’s personal life because that’s the pace of our ‘social’ generation. I’m grateful for my position and I will always find ways to make my job more about others and giving back— all while having the best time with my music, fashion, film and my love for learning about the world that I’m eager to tap into more and more. Church is a name for something far more personal. There’s always agenda seeking information on such a subject and I understand why. Rarely do I mention church (and I didn’t) , but I’ll always feel comfortable talking about my values and beliefs. I respect that from everyone and anyone. I understand that reporters are working to grab the attention of a reader, however I will always work to ensure that what is public represents my truth. I’m a bit bummed but rarely surprised. Y’all know me and my heart. I can’t help it. So I’ll post some of MY photos from the collection and work with A21. My heart. And maybe edit my actual lyrics as you will all hear it soon 😊 I love you guys to the moon and back. For more information on the work I do with A21 please, please visit link in my bio. So much more on that soon! ",instagram_data
98,img/insta98,today was so fun ,instagram_data
99,img/insta99,"A few of my favorite things in the entire world!!! UPDATE: I had something I’ve thought about for a while that I want to share. This page is my highlights and a few low lights. I post what I am willing to share with you guys. I hear people say all the time that they wish they had someone else’s life based on a few pictures.. we all do it. But this is me sharing some happy moments with you guys. Trust me, my life isn’t always this filtered and flowery... We are all on our own journey. 🌻 ",instagram_data
100,img/insta100,"And lastly, my actual you are an incredible woman. The way you handle life’s most confusing moments is indescribable and graceful. You are moved by the littlest stories to the most heartbreaking ones, you will give someone your perfume if they say you smell nice, you are freaking hilarious and always stand firm in your faith, a loving sister, an amazing friend and a beautiful daughter. You are the definition of FEARFULLY and WONDERFULLY made baby! ",instagram_data
101,img/insta101,"Best friend turned 26. Part 2. because these women have stayed by my side for 7 years 12 years) 4, because you are my 4 for the rest of my life. I love you ladies. You all inspire me to be better, stronger, closer to god and we have lived the most INSANE story together already. Can’t wait for 50 more!! Ps had an actual panic attack 🙄 it’s a dot! 🤦🏽‍♀️ ",instagram_data
102,img/insta102,My best friend turned 26. Part one. ,instagram_data
103,img/insta103,,instagram_data
104,img/insta104,"trying out my new Selena bags with my friends. We went jumping on trampolines. Love y’all! “not perfect, always me” ",instagram_data
105,img/insta105,So excited to be a part of the WE Day inspiration once again! 💙 Watch on ABC August 17 at 8/7c – you won’t want to miss Nellie’s story! ,instagram_data
106,img/insta106,Hey fam- It’s almost here! First look at my new campaign. My exclusive clothing collection drops in a couple weeks. ,instagram_data
107,img/insta107,randoms and film. ,instagram_data
108,img/insta108,life ,instagram_data
109,img/insta109,Another year down.. Thank you for all the bday love. I couldn’t be more appreciative of you and my best friends for celebrating with me. I love you guys like crazy! God bless! ,instagram_data
110,img/insta110,,instagram_data
111,img/insta111,So excited for everyone to finally see the latest chapter of - it’s out now!!! So much fun getting the fam back together ,instagram_data
112,img/insta112,,instagram_data
113,img/insta113,Striking a pose in the new Defy Mid. ,instagram_data
114,img/insta114,Hope everyone had a great 4th of July! Spent mine with some of my favorite people ❤️ ,instagram_data
115,img/insta115,,instagram_data
116,img/insta116,,instagram_data
117,img/insta117,,instagram_data
118,img/insta118,,instagram_data
119,img/insta119,,instagram_data
120,img/insta120,,instagram_data
121,img/insta121,Introducing DEFY- my latest campaign with ,instagram_data
122,img/insta122,I’m grateful for those I surround myself with. And this woman right here happens to be one of my favorites. Love our tradition and I love you. ,instagram_data
123,img/insta123,You’re stuck in my head and I can’t get you out of it. ,instagram_data
124,img/insta124,I wanna hold you when I’m not supposed to... ,instagram_data
125,img/insta125,"Out May 10th, part of the S2 soundtrack. I’m so excited for you guys to hear it❣️ ",instagram_data
126,img/insta126,Always need a subtle change. Germany family time 😊 grateful for the welcome! ,instagram_data
127,img/insta127,"Decided to come to Germany to meet my family and THANK THEM and THANK YOU for my first shoe collab being sold out!! 😊 also for every shoe you bought, you gave to the lupus alliance foundation a donation! ",instagram_data
128,img/insta128,"A while back I had the honor of being apart of the global citizen concert by having these amazing young men sing my song kill em with kindness in an epically, beautiful way. My heart was legit exploding to see them today!! ",instagram_data
129,img/insta129,-my sixth year doing this incredible show. They have such a force of young people that are doing so much for their communities and the world. This is Nellie. She’s fearless and is wanting to spread awareness about kidney diseases. ,instagram_data
130,img/insta130,,instagram_data
131,img/insta131,Photo wall opportunity with the Parker bag ,instagram_data
132,img/insta132,,instagram_data
133,img/insta133,"I don't want this to just be an Instagram post anymore. PLEASE. ENOUGH. These people, families and CHILDREN have suffered enough. Today we march for our lives. I'm going to continue to trust god with the future and also play my part in bringing change. ",instagram_data
134,img/insta134,"I don't want this to just be an Instagram post anymore. PLEASE. ENOUGH. These people, families and CHILDREN have suffered enough. Today we march for our lives. I'm going to continue to trust god with the future and also play my part in bringing change. ",instagram_data
135,img/insta135,"I don't want this to just be an Instagram post anymore. PLEASE. ENOUGH. These people, families and CHILDREN have suffered enough. Today we march for our lives. I'm going to continue to trust god with the future and also play my part in bringing change. ",instagram_data
136,img/insta136,JO JO you're insane. Thank you from the bottom of my heart. I walked into my home to this! ,instagram_data
137,img/insta137,"Protect kids, not guns! ",instagram_data
138,img/insta138,"Fam, my second collection for is going to include clothes! So grateful I got to work on this with Can’t wait to show you this fall. ",instagram_data
139,img/insta139,,instagram_data
140,img/insta140,Thank you and And so grateful to for the interview- link in bio. Wearing by And also thanks to my team 😍 ,instagram_data
141,img/insta141,,instagram_data
142,img/insta142,"The home I grew up in, from birth to 13... (no one was home when I knocked this time lol) I visit this place every chance I get. In many ways it very well could have been better than my life today, but I’m grateful for a voice that can enable change today. Even when I don’t know how to do it well or actually want it. I love you Grand Prairie. Thank you. ❤️ ",instagram_data
143,img/insta143,A New Year’s first just for you guys- I’m so excited to reveal my new campaign. ,instagram_data
144,img/insta144,"It’s time to shift the balance in the workplace, from representing the few to representing us all. ",instagram_data
145,img/insta145,"AND to this gorgeous, kind hearted lady. You endured this character with such strength and softness. I am so proud you are being acknowledged for doing just that! GOLDEN GLOBE NOMINEE!!! Ladies are shining! ",instagram_data
146,img/insta146,"And this year wraps up with another committed journey with -Season 2 is coming. To every person on this project, thank you for coming back. Good or bad we are committed to having the tough conversations, to telling the story that can start change. ",instagram_data
147,img/insta147,Currently. Until the next year. Here’s where I’ll be. ,instagram_data
148,img/insta148,Thank you beyond for your acknowledgment and honor but honestly thank you more for the event you held for women. That night was so inspiring and every woman spoke eloquently and with such force. I’ll try to continue to give my best to even remotely live up to a title. In the mean time I hope we all continue to give our best when the world wants to give us the worst. We aren’t stopping the fight. ,instagram_data
149,img/insta149,thank you for being apart of this phase can’t wait for the next ,instagram_data
150,img/insta150,all apologies ,instagram_data
151,img/insta151,i stole from my sister ,instagram_data
152,img/insta152,Guys- I'm so excited to share my first campaign for the new Phenom. ,instagram_data
153,img/insta153,,instagram_data
154,img/insta154,,instagram_data
155,img/insta155,so i am blonde now ,instagram_data
156,img/insta156,Looked for love in every stranger ,instagram_data
157,img/insta157,Tonight ,instagram_data
158,img/insta158,American Music Awards ,instagram_data
159,img/insta159,sunday. AMAs. ,instagram_data
160,img/insta160,🌙 ,instagram_data
161,img/insta161,Wolves 🌑 ,instagram_data
162,img/insta162,been crying with the wolves to get to you ,instagram_data
163,img/insta163,"Blindly I am following, break down these walls and come on in ",instagram_data
164,img/insta164,Wolves video out now on apple -thank you to my Bay Area fam ,instagram_data
165,img/insta165,Wolves is out now! 🐺🐺 ,instagram_data
166,img/insta166,Wolves is out now! 🐺🐺 ,instagram_data
167,img/insta167,🐺🐺 ,instagram_data
168,img/insta168,🐺🐺 ,instagram_data
169,img/insta169,🐺🐺 ,instagram_data
170,img/insta170,"I've been running through the jungle, I've been crying with the wolves... 10.25 ",instagram_data
171,img/insta171,10.25 ,instagram_data
172,img/insta172,Coming 10.25… WOLVES x ,instagram_data
173,img/insta173,Momma and I ,instagram_data
174,img/insta174,Join all of us right now!!! and on -we are one ,instagram_data
175,img/insta175,Officially a part of the fam ,instagram_data
176,img/insta176,"I’m very aware some of my fans had noticed I was laying low for part of the summer and questioning why I wasn’t promoting my new music, which I was extremely proud of. So I found out I needed to get a kidney transplant due to my Lupus and was recovering. It was what I needed to do for my overall health. I honestly look forward to sharing with you, soon my journey through these past several months as I have always wanted to do with you. Until then I want to publicly thank my family and incredible team of doctors for everything they have done for me prior to and post-surgery. And finally, there aren’t words to describe how I can possibly thank my beautiful friend Francia Raisa. She gave me the ultimate gift and sacrifice by donating her kidney to me. I am incredibly blessed. I love you so much sis. Lupus continues to be very misunderstood but progress is being made. For more information regarding Lupus please go to the Lupus Research Alliance website: www.lupusresearch.org/ -by grace through faith ",instagram_data
177,img/insta177,,instagram_data
178,img/insta178,"Sometimes it's incredibly difficult to wake up every day knowing there is so much going on in the world. At times I feel selfish, I ask why, I ask how can this change? Will it actually ever change? I try to contribute my heart before anything because it can be so easy to lose the desire to have hope when sometimes all I want to be is angry. When I read about the beautiful women who wake up consciously every day to make a change, it inspires me to want to do so much more. Not really sure how I got so lucky but thank you for highlighting the power of what we can and will always strive to be. I believe in the goodness in the land of the living. I hope this is just the beginning of more change. ",instagram_data
179,img/insta179,Thank you for letting me be apart of the 5th annual print edition. Very grateful ,instagram_data
180,img/insta180,,instagram_data
181,img/insta181,,instagram_data
182,img/insta182,,instagram_data
183,img/insta183,It’s been so much fun working with and on designing my very own bag: the Selena Grace. Come see it and meet me at Coach House New York on Sept. 13! ,instagram_data
184,img/insta184,Also so stoked I got to show you a sneak peak at my bag I designed ,instagram_data
185,img/insta185,,instagram_data
186,img/insta186,Ahhh!💕thank you Instyle!! wearing dress for the September cover! Photograph by Story by Hair for Makeup Fashion Editor Manicure: (basically the entire squad) ,instagram_data
187,img/insta187,Fetish Video directed by and ft. coming Wednesday. ,instagram_data
188,img/insta188,Fetish Video directed by and ft. coming Wednesday. ,instagram_data
189,img/insta189,My people ,instagram_data
190,img/insta190,My Petra 💕 ,instagram_data
191,img/insta191,Thank you for all of my bday love. I couldn't be more blessed. A lot of you don't realize how much you mean to me. I. Love. You. --think 25 is going to be epic. xo ,instagram_data
192,img/insta192,"I'm not surprised, I sympathize. ",instagram_data
193,img/insta193,"I'm not surprised, I sympathize. ",instagram_data
194,img/insta194,Fetish. Thursday. ,instagram_data
195,img/insta195,Fetish. Thursday. ,instagram_data
196,img/insta196,JULY 13 ,instagram_data
197,img/insta197,JULY 13 ,instagram_data
198,img/insta198,JULY 13 ,instagram_data
199,img/insta199,FETISH ,instagram_data
200,img/insta200,FETISH ,instagram_data
201,img/insta201,FETISH ,instagram_data
202,img/insta202,,instagram_data
203,img/insta203,family ,instagram_data
204,img/insta204,Fall 2017 campaign. Thank you ,instagram_data
205,img/insta205,Badliar --- ,instagram_data
206,img/insta206,,instagram_data
207,img/insta207,🌈 thanks for watching the music video ,instagram_data
208,img/insta208,Bad Liar video 🌈 ,instagram_data
209,img/insta209,Bad Liar with the all time brilliant Jesse Peretz ,instagram_data
210,img/insta210,Bad Liar music video is out by the way 😏 ,instagram_data
211,img/insta211,- a film ,instagram_data
212,img/insta212,Coming soon ,instagram_data
213,img/insta213,Wednesday. ,instagram_data
214,img/insta214,💕 ,instagram_data
215,img/insta215,My heart will forever and always be with people. There's never enough I could do to thank you but more importantly show you that YOU matter and are beyond watched over. ,instagram_data
216,img/insta216,NY ,instagram_data
217,img/insta217,🙏🏼 ,instagram_data
218,img/insta218,What's to come is never what they expect 💕 thank you for inspiring me to be me ,instagram_data
219,img/insta219,,instagram_data
220,img/insta220,,instagram_data
221,img/insta221,date night ,instagram_data
222,img/insta222,5.18 ,instagram_data
223,img/insta223,5.18 ,instagram_data
224,img/insta224,5.18 ,instagram_data
225,img/insta225,5.18 ,instagram_data
226,img/insta226,5.18 ,instagram_data
227,img/insta227,5.18 ,instagram_data
228,img/insta228,5.18 ,instagram_data
229,img/insta229,,instagram_data
230,img/insta230,,instagram_data
231,img/insta231,,instagram_data
232,img/insta232,As the new face of they gave me the opportunity to personalize this bag for my Momma (that I’m pretty sure my sister is going to steal anyhow). This is a very common exchange between the two of us. Happy (early) Mother’s Day to the woman who is the reason for my existence. ,instagram_data
233,img/insta233,,instagram_data
234,img/insta234,,instagram_data
235,img/insta235,So proud and grateful to and for tonight. Thank you so much Anna for a beautiful event and for what you do. ,instagram_data
236,img/insta236,Because it should be fun and truly authentic my crew 💕 ,instagram_data
237,img/insta237,5th time being apart of the 2nd time hosting this amazing event. They have inspired and provided a platform to help kids and families be THE movement. They prove that you can do anything you set your mind to. No matter what age. ,instagram_data
238,img/insta238,,instagram_data
239,img/insta239,Very much in my feelings about my big brother getting married. Even though we for sure knew it would be him first. May God bless you and your beautiful wife Henrie! 💕 ,instagram_data
240,img/insta240,,instagram_data
241,img/insta241,always playing and working on something magical 💕 ,instagram_data
242,img/insta242,Wish the rest of the crew was with us today. Overwhelmed with the response and love is receiving. Thank you to each beautiful person who has watched and talked about the message of our show. ,instagram_data
243,img/insta243,"Our show came out tonight and I couldn't be more overwhelmed with pride and joy. After 7 years of holding onto this book, I couldn't of picked a better time for this message to exist. Jay Asher wrote a beautifully tragic, compelling story and we were lucky to have brought it to life. Thank you to every single soul that put their heart into this passion project ",instagram_data
244,img/insta244,,instagram_data
245,img/insta245,is celebrating world kindness day and I got to spend it with people who fully will change our world one day. introduced me to which is an after school organization that encourages girls to believe that they have the capability to do anything they set their mind to. It's crazy to me how much they are willing put others before themselves. ,instagram_data
246,img/insta246,,instagram_data
247,img/insta247,Wearing for !! ,instagram_data
248,img/insta248,I want to thank Rob Haskell for writing my story. I was a little nervous at how honest I was but you depicted where I'm at perfectly. I'm so grateful ❤️ ,instagram_data
249,img/insta249,Ok freaking out a little. Thrilled to share my first American cover with you! Read the story and see the full spread in the link in my bio. Photographed by and ,instagram_data
250,img/insta250,,instagram_data
251,img/insta251,,instagram_data
252,img/insta252,,instagram_data
253,img/insta253,"Today I watched a sermon from one of my favorites. “I don’t really understand myself, for I want to do what is right, but I don’t do it. Instead, I do what I hate.” Romans 7:15 ",instagram_data
254,img/insta254,,instagram_data
255,img/insta255,"Thank you fam for 110. I promise I will continue to cherish my platform and speaking truth but more importantly, each and every one of you have changed my life. I'm very grateful. ",instagram_data
256,img/insta256,Proud of my trainers husband cause he's goals for real ,instagram_data
257,img/insta257,,instagram_data
258,img/insta258,,instagram_data
259,img/insta259,,instagram_data
260,img/insta260,I have a full crush on ,instagram_data
261,img/insta261,Thursday. ,instagram_data
262,img/insta262,Morning walks ,instagram_data
263,img/insta263,"What 13 reasons why has represented was an authentic story of what every kid deals with in every day life. The pressure, the unrealistic expectations of what they believe they should be. Whether you have read this book or not, it's a story of what every kid does and will continue to go through - unless we keep talking about it. People are hurting and deserve to be heard. Tired of others portraying a false idea of what every day life is. I hope can enlighten people to what words mean when you say them. ",instagram_data
264,img/insta264,After 6 years waiting to find the perfect Hannah and Clay for I couldn't be luckier we cast these two 💜 ,instagram_data
265,img/insta265,,instagram_data
266,img/insta266,"Helping the guys get ready for the Grammys. I said ""anything Gosling would wear please."" ",instagram_data
267,img/insta267,My boy 😍 ,instagram_data
268,img/insta268,,instagram_data
269,img/insta269,,instagram_data
270,img/insta270,my momma. I sit back and think about how much she has done and shown me.. it truly has blown me away. She teaches me most about life and I couldn't be luckier to have a partner like her in life ,instagram_data
271,img/insta271,,instagram_data
272,img/insta272,My world 😍 ,instagram_data
273,img/insta273,I love you ,instagram_data
274,img/insta274,,instagram_data
275,img/insta275,"This was the day I was nervous as hell going into for the first time to talk about -my mom found this book in 2009 and worked her ass off to make it with me, guide me and tell this story authentically (the only reason, beside Jay this project was even made) ",instagram_data
276,img/insta276,,instagram_data
